	Cluster_0	Cluster_1	Cluster_2
AKR7A2P1	5.3473	5.36437	5.37023
AKR7A3	8.02822	6.85234	8.29281
AKT1	10.2253	10.0588	10.4487
AKT1S1	5.60163	5.66544	5.82557
AKT2	5.65969	5.67259	5.7044
AKT3	5.49429	5.51175	5.47565
AKTIP	7.55173	7.62945	7.51059
ALAD	5.30943	5.29436	5.32116
ALAS1	5.65591	5.73134	5.70192
ALAS2	5.42154	5.42483	5.4208
ALB	6.45192	5.84113	6.03453
ALCAM	9.27864	8.46803	9.34916
ALDH18A1	8.40811	8.52382	8.49942
ALDH1A1	7.51946	7.11596	6.49101
ALDH1A2	6.22116	5.99338	5.81571
ALDH1A3	7.58145	7.85206	6.8396
ALDH1L1	5.73802	5.60379	5.46316
ALDH1L2	5.85115	5.86702	5.67474
ALDH2	9.01849	8.73512	8.43843
ALDH3A1	5.45366	5.52541	5.42537
ALDH3A2	7.97929	7.60135	8.1903
ALDH3B1	5.97591	6.11733	6.02863
ALDH3B2	5.61437	5.57042	5.54921
ALDH4A1	6.13531	5.9965	6.18866
ALDH5A1	6.37049	6.44813	6.67482
ALDH6A1	7.54707	6.92443	7.56909
ALDH7A1	9.21239	9.21656	9.17891
ALDH8A1	5.37662	5.38362	5.38362
ALDH9A1	11.6027	11.4434	11.7017
ALDOA	8.39434	8.32412	8.3449
ALDOB	6.29983	6.2583	6.56552
ALDOC	7.78087	8.32125	7.68879
ALG1	5.954	5.92416	6.02078
ALG10B	5.9155	5.85674	5.88666
ALG11	7.33946	7.13883	7.25274
ALG12	5.81841	5.88197	5.94919
ALG13	6.61326	6.46362	6.71256
ALG14	6.86359	6.64701	6.79047
ALG1L	5.8314	5.99052	6.04366
ALG2	5.72888	5.78978	5.75846
ALG3	8.38627	8.86933	8.58709
ALG5	8.54924	8.48141	8.50712
ALG6	7.67807	7.85182	7.70263
ALG8	8.97626	8.74069	9.33899
ALG9	7.75585	7.8014	7.7345
ALK	5.52336	5.6744	5.5187
ALKBH1	6.82572	6.569	6.78176
ALKBH2	7.62523	7.74265	7.86991
ALKBH3	7.93208	7.85135	7.74748
ALKBH4	6.05226	6.07732	6.20213
ALKBH5	11.2525	11.2486	11.3609
ALKBH6	7.04452	7.14341	7.27953
ALKBH7	7.96156	7.67487	7.98525
ALLC	5.38933	5.38107	5.38825
ALMS1	6.42221	6.44605	6.73511
ALOX12	5.3143	5.42628	5.32234
ALOX12B	5.37389	5.4471	5.39605
ALOX15	5.42251	5.43427	5.43013
ALOX15B	5.97951	5.79579	5.72076
ALOX5	7.34137	7.39686	7.12916
ALOX5AP	9.95241	9.87386	9.05374
ALOXE3	5.45973	5.4687	5.53276
ALPI	5.57652	5.54822	5.5777
ALPK2	6.27111	6.61383	6.09903
ALPK3	5.35734	5.36803	5.36193
ALPL	8.05044	8.15873	7.304
ALS2	8.02623	8.08306	8.0802
ALS2CL	5.44457	5.4399	5.45582
ALS2CR11	5.37523	5.38046	5.37516
ALS2CR12	5.34842	5.36169	5.36488
ALX1	5.31774	5.38865	5.29281
ALX3	5.45547	5.50404	5.46512
ALX4	5.28676	5.27092	5.28289
ALYREF	7.80077	8.43723	7.73635
AMACR	6.45469	6.25654	6.41389
AMBN	5.33803	5.34786	5.34906
AMBP	5.41889	5.43552	5.44805
AMBRA1	5.66334	5.60983	5.68557
AMD1	7.68397	8.41381	7.4951
AMDHD1	5.82505	5.75719	6.02152
AMDHD2	7.57517	7.42504	7.74597
AMELX	5.35073	5.33172	5.3626
AMELY	5.46549	5.4749	5.4905
AMER1	6.89263	7.53392	6.89702
AMER2	5.43295	5.45754	5.43146
AMER3	5.33166	5.32902	5.33238
AMFR	7.56587	7.26731	7.82338
AMH	5.6612	5.69051	5.91129
AMHR2	5.50651	5.40388	5.48213
AMICA1	6.99312	7.28574	6.41628
AMIGO1	5.59914	5.57339	5.60529
AMIGO3	5.60162	5.61667	5.65603
AMMECR1	6.13266	6.24769	6.10345
AMMECR1L	6.95475	6.97642	7.06532
AMN	5.40454	5.43427	5.40294
AMN1	5.76119	5.6489	5.84319
AMOT	7.32257	7.26733	7.2878
AMOTL1	5.62897	5.64557	5.65584
AMOTL2	5.53314	5.54261	5.52543
AMPD1	5.79572	5.66541	5.47247
AMPD2	5.35536	5.35931	5.35629
AMPD3	5.40473	5.4521	5.42476
AMPH	6.24878	5.90587	6.01191
AMT	7.02331	6.71628	7.13476
AMTN	5.33148	5.77876	5.30352
AMY1A	6.21289	6.39811	6.24015
AMY2A	5.46052	5.47226	5.47414
AMY2B	5.39106	5.40883	5.40215
AMZ2	7.83518	7.8651	7.96536
AMZ2P1	5.44903	5.45821	5.45869
ANAPC1	6.32141	6.44779	6.31125
ANAPC10	7.77482	7.81802	7.59863
ANAPC11	5.5502	5.57175	5.5836
ANAPC13	10.2519	9.93968	10.2029
ANAPC15	6.82665	6.85686	6.90872
ANAPC16	7.62336	7.36837	7.60155
ANAPC2	5.62933	5.58259	5.72411
ANAPC4	8.23402	8.13877	8.35376
ANAPC5	10.2494	10.2721	10.3178
ANAPC7	7.87032	7.92948	7.74671
ANG	8.18255	7.29226	8.05086
ANGEL1	7.18745	7.12523	7.26068
ANGEL2	9.00045	8.67194	9.29095
ANGPT1	6.05162	6.31232	5.8177
ANGPT2	7.1796	7.23007	7.04772
ANGPT4	5.2792	5.28007	5.26775
ANGPTL1	5.4411	5.37044	5.35736
ANGPTL2	8.89481	8.44082	7.87372
ANGPTL3	5.35557	5.33377	5.34474
ANGPTL4	5.67216	5.72615	5.64507
ANGPTL5	5.34613	5.30211	5.3056
ANGPTL6	5.54443	5.61028	5.49703
ANGPTL7	5.59268	5.5451	5.49019
ANK1	5.46692	5.45813	5.48718
ANK2	5.57216	5.49895	5.40513
ANK3	5.95301	5.89106	5.98194
ANKAR	5.91799	5.80496	5.94891
ANKDD1B	5.41243	5.41031	5.44812
ANKFN1	5.32974	5.33181	5.32677
ANKFY1	6.76016	6.77471	6.77178
ANKH	5.55246	5.57552	5.54207
ANKHD1	6.21005	5.98672	6.39297
ANKK1	5.46725	5.37014	5.49756
ANKLE2	5.40794	5.40331	5.40706
ANKMY1	5.404	5.40599	5.4235
ANKMY2	7.75756	7.4554	7.55971
