	Cluster_0	Cluster_1	Cluster_2
NLRP10	5.43153956043956	5.431716666666667	5.445901142857143
NLRP11	5.293284249084249	5.288370175438597	5.293520571428571
NLRP12	5.472133333333333	5.402254385964911	5.426992
NLRP13	5.393490842490842	5.376262280701754	5.422498857142857
NLRP14	5.286469230769232	5.279474561403509	5.290257714285715
NLRP2	6.5131673992674	6.791157894736843	6.445970285714286
NLRP3	6.213262637362637	6.286738596491229	5.934737714285715
NLRP4	5.312336263736264	5.319940350877192	5.306521714285714
NLRP5	5.641589377289377	5.4700456140350875	5.573220571428572
NLRP6	5.323258974358974	5.324228947368421	5.339316571428571
NLRP7	5.419629304029304	5.589156140350878	5.390116571428571
NLRP8	5.336057509157509	5.352259649122806	5.347511428571428
NLRP9	5.275845421245421	5.280009649122806	5.284852571428571
NLRX1	6.779891575091575	6.750885964912281	6.712716571428573
NMB	6.7937666666666665	7.349089473684209	6.4337988571428575
NMBR	5.42045347985348	5.42984298245614	5.4594508571428575
NMD3	7.10490402930403	7.312635087719298	7.069035999999999
NME1	6.530451282051282	6.688708771929825	6.700136
NME3	10.614482783882783	9.583012280701755	10.82113257142857
NME4	10.448484249084249	9.928571052631579	10.666146285714287
NME6	6.8564395604395605	6.6964192982456145	6.868615428571428
NME7	6.598194505494505	6.469825438596492	6.582029714285715
NME8	5.779505860805861	5.679651754385965	5.622162285714285
NME9	5.368366666666667	5.365271052631579	5.378610285714286
NMI	7.830368498168498	8.348612280701754	7.462309142857142
NMNAT1	5.983212454212454	5.967406140350877	5.964542285714285
NMNAT2	5.451751648351648	5.44895350877193	5.483111999999999
NMNAT3	6.699551648351648	6.176481578947368	6.948245714285716
NMRAL1	9.58572490842491	9.425909649122806	9.89565657142857
NMRK1	7.225035164835165	7.31578596491228	7.331198857142858
NMRK2	5.367810622710622	5.381072807017543	5.364792
NMS	5.416728571428572	5.411465789473684	5.411088
NMT1	6.687197435897436	6.6686815789473695	6.864177714285714
NMT2	6.498583516483516	6.7736903508771915	6.275257142857143
NMU	5.536823809523809	6.310859649122807	5.623508
NMUR1	5.440707326007327	5.461585087719298	5.445499999999999
NMUR2	5.308746520146521	5.300755263157895	5.274694857142857
NNAT	5.413050549450549	5.365112280701754	5.422916571428572
NNMT	8.525538827838828	8.591113157894737	7.876514857142859
NNT	5.903814652014652	5.91339298245614	5.991058857142856
NOA1	8.617023443223443	8.650185087719299	8.556013142857141
NOB1	6.4512300366300375	6.6833833333333335	6.431805714285715
NOBOX	5.408051648351648	5.412878947368421	5.4098308571428575
NOC3L	7.570864835164834	7.764988596491227	7.610616571428571
NOC4L	6.3319194139194135	6.370858771929825	6.469651999999999
NOD1	6.569791941391941	6.633547368421052	6.4026942857142854
NOD2	6.460175091575091	6.81700701754386	6.4317908571428575
NODAL	5.558147252747252	5.562027192982456	5.551064571428571
NOG	5.426178388278388	5.4169368421052635	5.408945714285714
