	Cluster_0	Cluster_1	Cluster_2
DNAJA1	10.7603	10.8026	11.0893
DNAJA2	9.47172	9.66895	9.78973
DNAJA3	9.80763	9.50287	9.68018
DNAJA4	9.30264	8.93468	8.4611
DNAJB1	8.76041	8.57201	8.76166
DNAJB11	9.27657	9.57328	9.95751
DNAJB12	6.80607	6.60604	6.69198
DNAJB13	5.43627	5.43283	5.42713
DNAJB14	6.34714	6.40997	6.2188
DNAJB2	7.84914	7.76199	7.82652
DNAJB3	5.45426	5.49239	5.45976
DNAJB4	5.51177	5.57123	5.60953
DNAJB5	5.69361	5.79007	5.6934
DNAJB6	9.03352	9.01744	9.41893
DNAJB7	5.36146	5.36006	5.37179
DNAJB8	5.59939	5.64869	5.58763
DNAJB9	7.90952	8.12222	7.81177
DNAJC1	6.19114	5.9031	5.81019
DNAJC10	7.11675	7.14585	7.09642
DNAJC11	6.00696	6.07908	6.13876
DNAJC12	9.28524	7.25995	6.28143
DNAJC13	7.30931	7.42227	7.22937
DNAJC14	8.65314	8.50671	8.50685
DNAJC16	5.82789	5.7815	5.74745
DNAJC18	5.89513	5.88378	5.82352
DNAJC2	5.39888	5.42065	5.44525
DNAJC22	6.67592	6.448	5.96866
DNAJC24	7.15878	6.96436	6.96766
DNAJC27	7.08	6.90795	6.79322
DNAJC28	5.43562	5.42782	5.43292
DNAJC3	6.2245	6.68213	6.48968
DNAJC5	6.90957	6.90995	6.89419
DNAJC5B	5.28303	5.4162	5.2866
DNAJC5G	5.38078	5.37094	5.38585
DNAJC6	5.37318	5.36087	5.35962
DNAJC7	8.10862	8.00001	8.02825
DNAJC8	11.0684	11.1742	11.0513
DNAJC9	9.06074	9.17519	9.6204
DNAL1	5.91871	5.79139	5.76715
DNAL4	9.37265	9.03335	9.29835
DNALI1	8.70558	6.7718	6.09343
DNASE1	5.94597	6.04458	5.79816
DNASE1L1	5.87742	5.91731	5.83545
DNASE1L2	5.9742	5.68317	5.60249
DNASE1L3	5.78569	6.53078	5.71775
DNASE2B	5.51746	5.55283	5.42623
DND1	5.36257	5.32846	5.3572
DNER	5.32522	5.49139	5.80686
DNHD1	5.69614	5.67477	5.75299
DNLZ	8.54279	8.76395	8.55044
DNM1	5.97569	5.91423	5.84028
DNM1L	7.29796	7.25853	7.56577
DNM1P46	5.38358	5.38602	5.37419
DNM2	7.30128	7.56572	7.37195
DNM3	5.74567	5.8344	5.91523
DNMBP	5.44211	5.42606	5.41811
DNMT1	10.1186	10.2276	10.6995
DNMT3A	5.46874	5.4808	5.51187
DNMT3B	5.58732	5.62434	5.68856
DNMT3L	5.3889	5.40626	5.45997
DNPEP	6.99707	6.79555	6.8843
DNPH1	7.19187	7.15715	7.48649
DNTT	5.39993	5.41443	5.38102
DNTTIP1	8.38637	8.4055	8.65612
DNTTIP2	5.33457	5.3785	5.41285
DOC2A	5.6317	5.34985	5.38793
DOC2B	5.55154	5.49382	5.5013
DOCK1	7.71207	7.24666	7.18315
DOCK10	7.77296	8.41724	7.63321
DOCK11	6.898	7.95169	7.1428
DOCK2	7.98365	9.22428	8.21455
DOCK3	5.33302	5.381	5.54893
DOCK4	5.38496	5.43132	5.39756
DOCK5	5.92407	6.03877	6.22124
DOCK6	7.04819	6.96809	6.98451
DOCK7	6.35662	6.42301	6.74014
DOCK8	6.84105	7.52829	6.8696
DOCK9	6.228	6.10453	6.20996
DOHH	5.97144	5.93586	6.03731
DOK1	5.52214	5.53401	5.50813
DOK2	5.49921	5.79823	5.62599
DOK3	5.48577	5.70157	5.59812
DOK4	6.09091	6.08499	6.13417
DOK5	5.4498	5.51992	5.79886
DOK6	5.57905	5.57568	5.5123
DOLK	7.51381	7.42756	7.18027
DOLPP1	7.2892	7.23796	7.09065
DONSON	5.79695	5.84347	6.20419
DOPEY1	6.42114	6.46701	6.45831
DOPEY2	6.84148	6.92211	6.51313
DOT1L	5.52437	5.55477	5.58402
DPAGT1	7.78606	7.95028	7.826
DPCR1	5.45639	5.48854	5.42152
DPEP1	5.49591	5.59177	5.50229
DPEP3	5.42716	5.46763	5.4593
DPF1	5.48451	5.49757	5.51065
DPF2	8.83555	8.65561	8.84042
DPF3	5.47031	5.52486	5.51567
DPH1	5.77656	5.72664	5.72594
DPH2	5.65864	5.71405	5.96234
DPH3	6.97398	7.37886	7.44369
DPH5	7.93906	8.00844	7.98204
DPH7	6.00045	5.94098	6.01778
DPM1	9.04263	9.20872	9.41783
DPM2	7.65465	7.46604	7.44863
DPM3	9.10848	8.82222	9.16274
DPP10	5.33956	5.35679	5.36121
DPP3	6.99107	6.86941	6.94479
DPP4	5.64476	5.93502	5.69366
DPP6	5.41269	5.41745	5.42219
DPP7	7.44468	7.24772	7.11712
DPP8	7.33552	7.14682	7.01895
DPP9	8.41003	8.21522	8.07393
DPPA2	5.39994	5.42085	5.44199
DPPA3	5.34783	5.32077	5.33347
DPPA5	5.33556	5.33039	5.35464
DPRX	5.39551	5.39259	5.35849
DPT	7.31729	8.0272	6.88815
DPY19L1	7.4992	7.70684	7.51251
DPY19L2	5.64296	5.62331	5.65093
DPY19L2P2	5.37128	5.32498	5.33336
DPY19L2P4	5.98672	5.6909	5.68854
DPY19L3	5.76821	5.69351	5.69108
DPY19L4	6.96451	6.83872	6.99765
DPY30	8.11015	8.06531	8.3981
DPYD	6.21759	6.6315	6.15069
